"Jahr";"Frauen Beschäftigungsquote ";"Männer Beschäftigungsquote ";"Beschäftigungsquote "
"2015";"x";"x";"43,4"
"2016";"x";"x";"45,1"
"2017";"x";"x";"47,5"
"2018";"x";"x";"49,8"
"2019";"x";"x";"52,3"
"2020";"x";"x";"52,6"
"2021";"51,6";"51,6";"51,6"
"2022";"17,9";"24,3";"19,8"
"2023";"21,0";"27,4";"23,1"
