"Jahr";"Frauen Beschäftigungsquote ";"Männer Beschäftigungsquote ";"Beschäftigungsquote "
"2015";"x";"x";"51,2"
"2016";"x";"x";"52,0"
"2017";"x";"x";"52,9"
"2018";"x";"x";"53,8"
"2019";"x";"x";"53,9"
"2020";"x";"x";"53,1"
"2021";"44,7";"61,6";"53,7"
"2022";"46,3";"62,2";"54,8"
"2023";"46,6";"60,8";"54,3"
""

