"Jahr";"Frauen Beschäftigungsquote ";"Männer Beschäftigungsquote ";"Beschäftigungsquote "
"2015";"x";"x";"45,6"
"2016";"x";"x";"47,2"
"2017";"x";"x";"50,6"
"2018";"x";"x";"54,5"
"2019";"x";"x";"57,0"
"2020";"x";"x";"56,7"
"2021";"44,9";"66,0";"58,2"
"2022";"51,1";"67,8";"61,5"
"2023";"56,6";"68,2";"63,7"
""
