"Jahr";"Frauen Beschäftigungsquote ";"Männer Beschäftigungsquote ";"Beschäftigungsquote "
"2015";"x";"x";"35,2"
"2016";"x";"x";"35,9"
"2017";"x";"x";"36,5"
"2018";"x";"x";"37,5"
"2019";"x";"x";"39,0"
"2020";"x";"x";"39,8"
"2021";"37,7";"43,9";"41,1"
"2022";"38,9";"44,5";"42,0"
"2023";"39,4";"44,7";"42,3"

