"Jahr";"Frauen Beschäftigungsquote ";"Männer Beschäftigungsquote ";"Beschäftigungsquote "
"2015";"x";"x";"55,0"
"2016";"x";"x";"55,9"
"2017";"x";"x";"56,5"
"2018";"x";"x";"56,8"
"2019";"x";"x";"58,7"
"2020";"x";"x";"58,3"
"2021";"55,5";"61,7";"59,0"
"2022";"57,6";"63,3";"60,8"
"2023";"58,5";"63,7";"61,4"
""

