"Jahr";"Frauen Beschäftigte ";"Männer Beschäftigte ";"Beschäftigte "
"2014";"2.500";"9.120";"11.620"
"2015";"2.720";"9.800";"12.520"
"2016";"3.120";"10.950";"14.060"
"2017";"3.570";"12.040";"15.610"
"2018";"4.140";"13.430";"17.570"
"2019";"4.770";"14.320";"19.090"
"2020";"5.030";"13.920";"18.950"
"2021";"5.950";"15.170";"21.110"
"2022";"7.790";"17.340";"25.120"
"2023";"9.770";"19.350";"29.120"
"2024";"12.110";"21.350";"33.460"
