"Jahr";"Frauen Beschäftigte ";"Männer Beschäftigte ";"Beschäftigte "
"2014";"97.580";"160.380";"257.960"
"2015";"103.330";"168.800";"272.130"
"2016";"109.000";"175.280";"284.280"
"2017";"113.450";"180.950";"294.400"
"2018";"118.190";"187.090";"305.280"
"2019";"122.390";"190.110";"312.490"
"2020";"120.220";"183.700";"303.920"
"2021";"122.010";"185.950";"307.950"
"2022";"126.250";"189.300";"315.540"
"2023";"127.960";"189.560";"317.520"
"2024";"128.580";"187.200";"315.780"
