"Jahr";"Frauen Beschäftigte ";"Männer Beschäftigte ";"Beschäftigte "
"2014";"3.600";"17.350";"20.940"
"2015";"3.880";"18.000";"21.880"
"2016";"4.380";"20.140";"24.520"
"2017";"5.160";"26.490";"31.640"
"2018";"6.780";"36.530";"43.310"
"2019";"8.670";"43.180";"51.860"
"2020";"9.580";"43.950";"53.530"
"2021";"11.300";"50.120";"61.420"
"2022";"15.200";"57.440";"72.640"
"2023";"18.270";"61.950";"80.220"
"2024";"21.720";"65.180";"86.900"

