"Region";"Deutschland";"Regionsschlüssel:";"d"
"Gebietsstand";"April 2025"
"Berichtsjahr";"2015"
"Datenstand";"April 2025"
"Indikator";"Beschäftigte"
"StaatsangehörigkeitEs werden Grafiken und Daten nur zu denjenigen Staatsangehörigkeiten angezeigt, bei denen eine ausreichend gesicherte Datenlage besteht.";"Insgesamt"
""
"Hinweise:";"In der Beschäftigungsstatistik ist der Stichtag 30.06. repräsentativ als Jahreswert zu sehen. Daten beziehen sich auf den Arbeitsort."
""
"Merkmal ";"Beschäftigte ";"Anteil an Insgesamt in % "
"Ohne Berufsabschluss";"4.747.590";"13"
"Anerkannter Berufsabschluss";"21.259.350";"59"
"Akademischer Berufsabschluss";"4.689.200";"13"
"Keine Angabe";"5.262.750";"15"
""
"Exportdatum: ";"21.05.2025";"16:24:28"
"© Statistik der Bundesagentur für Arbeit"
"Die Produkte unterliegen dem Urheberrecht (siehe Impressum: https://statistik.arbeitsagentur.de/DE/Home/Service/Impressum/impressum_node.html). Daten und Tabellen dürfen uneingeschränkt verwendet werden. Informationen dürfen (auch auszugsweise) gespeichert und mit Quellenangabe weitergegeben, vervielfältigt und verbreitet werden. Die Inhalte dürfen nicht verändert oder verfälscht werden. Eigene Berechnungen sind erlaubt, jedoch als solche kenntlich zu machen. Im Fall einer Veröffentlichung im Internet soll dies mit einer Verlinkung auf die Homepage der Statistik der Bundesagentur für Arbeit (https://statistik.arbeitsagentur.de/) erfolgen."
