,Jahr,Rechtsgrundlagen,Value
345,2010,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",0
346,2010,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",0
347,2010,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
348,2010,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
349,2010,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
350,2010,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",7232
351,2010,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",22
352,2011,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",3002
353,2011,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,580
354,2011,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),341
355,2011,"§10 Abs.1 StAG, Aufenthalt in Deutschland",78708
356,2011,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",10778
357,2011,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),618
358,2011,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),961
359,2011,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),0
360,2011,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",0
361,2011,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",0
362,2011,"§13 StAG, Ehemalige Deutsche im Ausland lebend",138
363,2011,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",44
364,2011,§15 StAG Bundesbeamte im Ausland (bis 2004),0
365,2011,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
366,2011,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",0
367,2011,"§21 HAuslG, Heimatlose Ausländer",27
368,2011,"§40b StAG, Übergangsregelung für Kinder",12
369,2011,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",203
370,2011,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
371,2011,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
372,2011,"§8 StAG, Niederlassung in Deutschland auf Dauer",4482
373,2011,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",0
374,2011,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",0
375,2011,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",0
376,2011,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",0
377,2011,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",0
378,2011,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",0
379,2011,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
380,2011,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
381,2011,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
382,2011,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",7003
383,2011,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",0
384,2012,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",2219
385,2012,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,367
386,2012,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
387,2012,"§10 Abs.1 StAG, Aufenthalt in Deutschland",86424
388,2012,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",9994
389,2012,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),1092
390,2012,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),1522
391,2012,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),0
392,2012,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",0
393,2012,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",0
394,2012,"§13 StAG, Ehemalige Deutsche im Ausland lebend",171
395,2012,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",23
396,2012,§15 StAG Bundesbeamte im Ausland (bis 2004),0
397,2012,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
398,2012,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",0
399,2012,"§21 HAuslG, Heimatlose Ausländer",54
400,2012,"§40b StAG, Übergangsregelung für Kinder",1
401,2012,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",146
402,2012,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
403,2012,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
404,2012,"§8 StAG, Niederlassung in Deutschland auf Dauer",3968
405,2012,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",0
406,2012,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",0
407,2012,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",0
408,2012,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",0
409,2012,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",0
410,2012,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",0
411,2012,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
412,2012,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
413,2012,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
414,2012,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",6367
415,2012,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",0
416,2013,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",2936
417,2013,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,207
418,2013,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
419,2013,"§10 Abs.1 StAG, Aufenthalt in Deutschland",86222
420,2013,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",9349
421,2013,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),1342
422,2013,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),1947
423,2013,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),0
424,2013,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",0
425,2013,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",0
426,2013,"§13 StAG, Ehemalige Deutsche im Ausland lebend",237
427,2013,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",36
428,2013,§15 StAG Bundesbeamte im Ausland (bis 2004),0
429,2013,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
430,2013,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",0
431,2013,"§21 HAuslG, Heimatlose Ausländer",31
432,2013,"§40b StAG, Übergangsregelung für Kinder",5
433,2013,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",125
434,2013,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
435,2013,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
436,2013,"§8 StAG, Niederlassung in Deutschland auf Dauer",3841
437,2013,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",0
438,2013,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",0
439,2013,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",0
440,2013,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",0
441,2013,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",0
442,2013,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",0
443,2013,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
444,2013,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
445,2013,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
446,2013,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",6075
447,2013,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",0
448,2014,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",2365
449,2014,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,198
450,2014,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
451,2014,"§10 Abs.1 StAG, Aufenthalt in Deutschland",82874
452,2014,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",9320
453,2014,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),1518
454,2014,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),2281
455,2014,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),0
456,2014,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",0
457,2014,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",0
458,2014,"§13 StAG, Ehemalige Deutsche im Ausland lebend",222
459,2014,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",31
460,2014,§15 StAG Bundesbeamte im Ausland (bis 2004),0
461,2014,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
462,2014,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",0
463,2014,"§21 HAuslG, Heimatlose Ausländer",24
464,2014,"§40b StAG, Übergangsregelung für Kinder",2
465,2014,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",64
466,2014,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
467,2014,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
468,2014,"§8 StAG, Niederlassung in Deutschland auf Dauer",3630
469,2014,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",0
470,2014,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",0
471,2014,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",0
472,2014,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",0
473,2014,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",0
474,2014,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",0
475,2014,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
476,2014,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
477,2014,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
478,2014,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",5893
479,2014,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",0
480,2015,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",2404
481,2015,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,156
482,2015,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
483,2015,"§10 Abs.1 StAG, Aufenthalt in Deutschland",81952
484,2015,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",9605
485,2015,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),1591
486,2015,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),2456
487,2015,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),0
488,2015,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",0
489,2015,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",0
490,2015,"§13 StAG, Ehemalige Deutsche im Ausland lebend",33
491,2015,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",6
492,2015,§15 StAG Bundesbeamte im Ausland (bis 2004),0
493,2015,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
494,2015,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",0
495,2015,"§21 HAuslG, Heimatlose Ausländer",23
496,2015,"§40b StAG, Übergangsregelung für Kinder",4
497,2015,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",41
498,2015,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
499,2015,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
500,2015,"§8 StAG, Niederlassung in Deutschland auf Dauer",3150
501,2015,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",0
502,2015,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",0
503,2015,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",0
504,2015,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",0
505,2015,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",0
506,2015,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",0
507,2015,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
508,2015,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
509,2015,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
510,2015,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",5896
511,2015,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",0
512,2016,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",2187
513,2016,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,130
514,2016,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
515,2016,"§10 Abs.1 StAG, Aufenthalt in Deutschland",83365
516,2016,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",10067
517,2016,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),1768
518,2016,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),2860
519,2016,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),0
520,2016,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",0
521,2016,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",0
522,2016,"§13 StAG, Ehemalige Deutsche im Ausland lebend",820
523,2016,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",189
524,2016,§15 StAG Bundesbeamte im Ausland (bis 2004),0
525,2016,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
526,2016,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",0
527,2016,"§21 HAuslG, Heimatlose Ausländer",15
528,2016,"§40b StAG, Übergangsregelung für Kinder",0
529,2016,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",42
530,2016,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
531,2016,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
532,2016,"§8 StAG, Niederlassung in Deutschland auf Dauer",2829
533,2016,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",0
534,2016,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",0
535,2016,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",0
536,2016,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",0
537,2016,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",0
538,2016,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",0
539,2016,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
540,2016,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
541,2016,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
542,2016,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",6111
543,2016,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",0
544,2017,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",2479
545,2017,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,84
546,2017,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
547,2017,"§10 Abs.1 StAG, Aufenthalt in Deutschland",84594
548,2017,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",9854
549,2017,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),1829
550,2017,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),3697
551,2017,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),0
552,2017,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",0
553,2017,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",0
554,2017,"§13 StAG, Ehemalige Deutsche im Ausland lebend",332
555,2017,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",198
556,2017,§15 StAG Bundesbeamte im Ausland (bis 2004),0
557,2017,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
558,2017,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",0
559,2017,"§21 HAuslG, Heimatlose Ausländer",25
560,2017,"§40b StAG, Übergangsregelung für Kinder",0
561,2017,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",27
562,2017,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
563,2017,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
564,2017,"§8 StAG, Niederlassung in Deutschland auf Dauer",2801
565,2017,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",0
566,2017,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",0
567,2017,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",0
568,2017,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",0
569,2017,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",0
570,2017,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",0
571,2017,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
572,2017,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
573,2017,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
574,2017,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",6291
575,2017,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",0
576,2018,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",1430
577,2018,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,105
578,2018,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
579,2018,"§10 Abs.1 StAG, Aufenthalt in Deutschland",83830
580,2018,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",10915
581,2018,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),2010
582,2018,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),4260
583,2018,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),0
584,2018,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",0
585,2018,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",0
586,2018,"§13 StAG, Ehemalige Deutsche im Ausland lebend",265
587,2018,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",150
588,2018,§15 StAG Bundesbeamte im Ausland (bis 2004),0
589,2018,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
590,2018,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",0
591,2018,"§21 HAuslG, Heimatlose Ausländer",15
592,2018,"§40b StAG, Übergangsregelung für Kinder",0
593,2018,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",30
594,2018,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
595,2018,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
596,2018,"§8 StAG, Niederlassung in Deutschland auf Dauer",2800
597,2018,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",0
598,2018,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",0
599,2018,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",0
600,2018,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",0
601,2018,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",0
602,2018,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",0
603,2018,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
604,2018,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
605,2018,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
606,2018,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",6535
607,2018,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",0
608,2019,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",2815
609,2019,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,70
610,2019,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
611,2019,"§10 Abs.1 StAG, Aufenthalt in Deutschland",92540
612,2019,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",13250
613,2019,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),2845
614,2019,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),5920
615,2019,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),0
616,2019,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",0
617,2019,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",0
618,2019,"§13 StAG, Ehemalige Deutsche im Ausland lebend",260
619,2019,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",210
620,2019,§15 StAG Bundesbeamte im Ausland (bis 2004),0
621,2019,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
622,2019,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",0
623,2019,"§21 HAuslG, Heimatlose Ausländer",10
624,2019,"§40b StAG, Übergangsregelung für Kinder",0
625,2019,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",15
626,2019,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
627,2019,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
628,2019,"§8 StAG, Niederlassung in Deutschland auf Dauer",3475
629,2019,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",0
630,2019,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",0
631,2019,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",0
632,2019,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",0
633,2019,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",0
634,2019,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",0
635,2019,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
636,2019,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
637,2019,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
638,2019,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",7485
639,2019,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",0
640,2020,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",1940
641,2020,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,65
642,2020,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
643,2020,"§10 Abs.1 StAG, Aufenthalt in Deutschland",72565
644,2020,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",13890
645,2020,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),3225
646,2020,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),6690
647,2020,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),0
648,2020,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",0
649,2020,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",0
650,2020,"§13 StAG, Ehemalige Deutsche im Ausland lebend",210
651,2020,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",445
652,2020,§15 StAG Bundesbeamte im Ausland (bis 2004),0
653,2020,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
654,2020,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",0
655,2020,"§21 HAuslG, Heimatlose Ausländer",10
656,2020,"§40b StAG, Übergangsregelung für Kinder",0
657,2020,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",15
658,2020,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
659,2020,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
660,2020,"§8 StAG, Niederlassung in Deutschland auf Dauer",4115
661,2020,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",0
662,2020,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",0
663,2020,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",0
664,2020,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",0
665,2020,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",0
666,2020,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",0
667,2020,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
668,2020,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",0
669,2020,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
670,2020,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",6700
671,2020,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",0
672,2021,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",6595
673,2021,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,55
674,2021,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
675,2021,"§10 Abs.1 StAG, Aufenthalt in Deutschland",71985
676,2021,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",19685
677,2021,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),4575
678,2021,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),12365
679,2021,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),0
680,2021,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",0
681,2021,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",0
682,2021,"§13 StAG, Ehemalige Deutsche im Ausland lebend",555
683,2021,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",705
684,2021,§15 StAG Bundesbeamte im Ausland (bis 2004),0
685,2021,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",15
686,2021,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",0
687,2021,"§21 HAuslG, Heimatlose Ausländer",5
688,2021,"§40b StAG, Übergangsregelung für Kinder",0
689,2021,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",0
690,2021,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
