,Jahr,Rechtsgrundlagen,Value
68,2002,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",0
69,2002,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
70,2002,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
71,2002,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),0
72,2002,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",3
73,2002,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",4
74,2002,"§13 StAG, Ehemalige Deutsche im Ausland lebend",102
75,2002,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",45
76,2002,§15 StAG Bundesbeamte im Ausland (bis 2004),0
77,2002,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
78,2002,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",288
79,2002,"§21 HAuslG, Heimatlose Ausländer",166
80,2002,"§40b StAG, Übergangsregelung für Kinder",4377
81,2002,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",0
82,2002,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
83,2002,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
84,2002,"§8 StAG, Niederlassung in Deutschland auf Dauer",8848
85,2002,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",57
86,2002,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",82788
87,2002,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",26957
88,2002,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",3379
89,2002,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",9178
90,2002,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",4139
91,2002,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",49
92,2002,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",11
93,2002,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
94,2002,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",12066
95,2002,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",0
96,2003,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",3677
97,2003,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,26
98,2003,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
99,2003,"§10 Abs.1 StAG, Aufenthalt in Deutschland",0
100,2003,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",0
101,2003,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
102,2003,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
103,2003,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),0
104,2003,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",2
105,2003,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",12
106,2003,"§13 StAG, Ehemalige Deutsche im Ausland lebend",133
107,2003,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",67
108,2003,§15 StAG Bundesbeamte im Ausland (bis 2004),1
109,2003,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
110,2003,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",140
111,2003,"§21 HAuslG, Heimatlose Ausländer",138
112,2003,"§40b StAG, Übergangsregelung für Kinder",731
113,2003,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",0
114,2003,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
115,2003,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
116,2003,"§8 StAG, Niederlassung in Deutschland auf Dauer",7738
117,2003,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",60
118,2003,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",86290
119,2003,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",25136
120,2003,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",993
121,2003,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",2769
122,2003,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",1445
123,2003,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",42
124,2003,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",7
125,2003,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
126,2003,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",11324
127,2003,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",0
128,2004,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",3809
129,2004,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,51
130,2004,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
131,2004,"§10 Abs.1 StAG, Aufenthalt in Deutschland",0
132,2004,"§10 Abs.2 StAG, Ehegatte, minderjährige Kinder",0
133,2004,§10 Abs.3 S.1 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
134,2004,§10 Abs.3 S.2 StAG (i.V.m.§10 Abs.1 StAG) (b.2023),0
135,2004,§10 Abs.3 StAG (i.V.m. § 10 Abs.1 StAG),0
136,2004,"§11 StAngRegG, Dt. Volkszugeh. im Inland (b.2010)",3
137,2004,"§12 Abs.1 StAngRegG,Frühere dt.Staatsang. (b.2010)",23
138,2004,"§13 StAG, Ehemalige Deutsche im Ausland lebend",122
139,2004,"§14 StAG, Ausl.m.Bindungen an Dtl., i.Ausl.lebend",90
140,2004,§15 StAG Bundesbeamte im Ausland (bis 2004),0
141,2004,"§15 StAG, Wiedergutmachungseinbürg.nach Verfolgung",0
142,2004,"§16 Abs.2 StAG, ausl.minderjährige Kinder (b.2007)",91
143,2004,"§21 HAuslG, Heimatlose Ausländer",116
144,2004,"§40b StAG, Übergangsregelung für Kinder",299
145,2004,"§40c StAG, Übergangsreg. b. Anträgen b. 30.03.2007",0
146,2004,"§6 (1.StaRegG), Aussiedler/Spätaussiedler (b.1999)",0
147,2004,"§8 RuStAG, Einbürgerung von Ausländern (bis 1999)",0
148,2004,"§8 StAG, Niederlassung in Deutschland auf Dauer",6286
149,2004,"§8 StAngRegG,Dt.Volkszugehörige im Inland (b.2004)",28
150,2004,"§85 Abs.1 AuslG, Aufenth.i.Deutschl.>=8 J.(b.2004)",82957
151,2004,"§85 Abs.2 AuslG, Ehegatte u. mindj.Kinder (b.2004)",19929
152,2004,"§85 AuslG, alte Fass., junge Ausländer (bis 2004)",490
153,2004,"§86 Abs.1 AuslG, a.F., langer Aufenth.i.D.(b.2004)",1418
154,2004,"§86 Abs.2 AuslG, a.F., Ehegatte u. Kinder (b.2004)",603
155,2004,"§9 Abs.1 StAngRegG, Dt.Volksz. im Ausland (b.2004)",23
156,2004,"§9 Abs.2 StAngRegG, Dt.Volksz. im Ausland (b.2004)",5
157,2004,"§9 RuStAG, Ehegatten Deutscher (bis 1999)",0
158,2004,"§9 StAG, Ehe- oder Lebenspartner ist Deutscher",10810
159,2004,"§9 StAngRegG, Dt. Volkszugeh. im Ausland (b.2004)",0
160,2005,"Art.116 Abs.2 S.1 GG, Frühere deutsche Staatsang.",3515
161,2005,Art.2 d. Gesetzes z. Vermind. der Staatenlosigkeit,115
162,2005,Sonstige nicht mehr anwendbare Rechtsgrl. (b.2010),0
