,STAG,Ausgewählte Aufenthaltstitel,Value
81,2004-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",237903
82,2004-12-31,Unbefristete Niederlassungserlaubnis,2260068
83,2004-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,24678
84,2005-12-31,Antrag auf einen Aufenthaltstitel gestellt,43212
85,2005-12-31,Aufenthaltsgestattung,43675
86,2005-12-31,Aufenthaltsrecht nach FreizügG/EU,2193416
87,2005-12-31,"Befristete AE, besondere Gründe und nationale Visa",1709350
88,2005-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",2438
89,2005-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",2632
90,2005-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",1594
91,2005-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",9079
92,2005-12-31,Duldung,184900
93,2005-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",221855
94,2005-12-31,Unbefristete Niederlassungserlaubnis,2321545
95,2005-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,22114
96,2006-12-31,Antrag auf einen Aufenthaltstitel gestellt,56828
97,2006-12-31,Aufenthaltsgestattung,27937
98,2006-12-31,Aufenthaltsrecht nach FreizügG/EU,2237995
99,2006-12-31,"Befristete AE, besondere Gründe und nationale Visa",706248
100,2006-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",152036
101,2006-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",137004
102,2006-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",71902
103,2006-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",607879
104,2006-12-31,Duldung,171281
105,2006-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",195115
106,2006-12-31,Unbefristete Niederlassungserlaubnis,2366988
107,2006-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,19791
108,2007-12-31,Antrag auf einen Aufenthaltstitel gestellt,66302
109,2007-12-31,Aufenthaltsgestattung,20143
110,2007-12-31,Aufenthaltsrecht nach FreizügG/EU,2394736
