,Jahr,Herkunfts-/Zielländer,Value
188,2001,Nordmazedonien,10842
189,2001,Norwegen,2112
190,2001,Pakistan,6598
191,2001,Paraguay,326
192,2001,Peru,2350
193,2001,Philippinen,3958
194,2001,Polen,159300
195,2001,Portugal,18828
196,2001,Ruanda,140
197,2001,Rumänien,40656
198,2001,Russische Föderation,73108
199,2001,Saudi-Arabien,580
200,2001,Schweden,6400
201,2001,Schweiz,8382
202,2001,Senegal,558
203,2001,Serbien,0
204,2001,Singapur,790
205,2001,Slowakei,22848
206,2001,Slowenien,5210
207,2001,Somalia,894
208,2001,Spanien,18880
209,2001,Sudan (einschließlich Südsudan) (bis 08.07.2011),0
210,2001,Sudan (ohne Südsudan) (ab 09.07.2011),0
211,2001,Syrien,8056
212,2001,Südafrika,2710
213,2001,Südsudan (ab 09.07.2011),0
214,2001,Tadschikistan,240
215,2001,Tansania,346
216,2001,Thailand,13390
217,2001,Tschechien,22596
218,2001,Tunesien,5146
219,2001,Türkei,109174
220,2001,Uganda,454
221,2001,Ukraine,41060
222,2001,Unbekanntes Ausland,8208
223,2001,Ungarn,34842
224,2001,Ungeklärt / Ohne Angabe,4920
225,2001,Uruguay,270
226,2001,Usbekistan,2864
227,2001,"Venezuela, Bolivarische Republik",1144
228,2001,Vereinigte Arabische Emirate,712
229,2001,Vereinigte Staaten,34870
230,2001,Vereinigtes Königreich,23168
231,2001,Vietnam,15548
232,2001,Zentralafrikanische Republik,42
233,2001,Zypern,296
234,2001,Ägypten,3834
235,2001,Äthiopien,1696
236,2001,Österreich,24326
237,2001,Übriges Afrika,16060
238,2001,Übriges Amerika,7396
239,2001,Übriges Asien,13606
240,2001,Übriges Europa,61414
241,2001,Übriges Ozeanien,126
242,2002,Afghanistan,7090
243,2002,Albanien,2922
244,2002,Algerien,5298
245,2002,Andorra,16
246,2002,Angola,1852
247,2002,Argentinien,3662
248,2002,Armenien,3082
249,2002,Aserbaidschan,5350
250,2002,Australien,4264
251,2002,Belarus,7964
252,2002,Belgien,4958
253,2002,"Bolivien, Plurinationaler Staat",670
254,2002,Bosnien und Herzegowina,20940
255,2002,Brasilien,9670
256,2002,Bulgarien,26080
257,2002,Chile,1504
258,2002,China,36594
259,2002,Costa Rica,320
260,2002,Cote d'Ivoire,1000
261,2002,Dänemark,4588
262,2002,Estland,1772
263,2002,Finnland,4052
264,2002,Frankreich,26414
265,2002,Georgien,8510
266,2002,Ghana,3980
267,2002,Griechenland,30022
268,2002,Honduras,200
269,2002,Indien,17998
270,2002,Indonesien,3156
271,2002,Insgesamt,1316682
272,2002,Irak,24932
273,2002,"Iran, Islamische Republik",11904
274,2002,Irland,3386
275,2002,Island,468
276,2002,Israel,3608
277,2002,Italien,48758
278,2002,Japan,11278
279,2002,Jemen,762
280,2002,Jordanien,1662
281,2002,Kamerun,5598
282,2002,Kanada,5458
283,2002,Kasachstan,23802
284,2002,Kenia,2078
285,2002,Kirgisistan,3112
286,2002,Kolumbien,3242
287,2002,"Kongo, Demokratische Republik",1394
288,2002,"Kongo, Republik",1146
289,2002,"Korea, Demokratische Volksrepublik",1120
290,2002,"Korea, Republik",5804
291,2002,Kosovo,0
292,2002,Kroatien,25476
293,2002,Kuwait,160
294,2002,Lettland,4116
295,2002,Libanon,6204
296,2002,Libyen,1186
297,2002,Litauen,7660
298,2002,Luxemburg,2312
299,2002,Malta,130
300,2002,Marokko,12358
301,2002,Mexiko,3706
302,2002,Montenegro (ab 03.06.2006),0
303,2002,Namibia,280
304,2002,Neuseeland,824
305,2002,Nicaragua,108
306,2002,Niederlande,20408
307,2002,Niger,466
308,2002,Nigeria,3882
309,2002,Nordmazedonien,7826
310,2002,Norwegen,2312
311,2002,Pakistan,5934
312,2002,Paraguay,366
313,2002,Peru,2336
314,2002,Philippinen,3708
315,2002,Polen,162932
316,2002,Portugal,15892
317,2002,Ruanda,148
318,2002,Rumänien,47606
319,2002,Russische Föderation,71632
320,2002,Saudi-Arabien,738
321,2002,Schweden,5766
322,2002,Schweiz,8524
323,2002,Senegal,504
324,2002,Serbien,0
325,2002,Singapur,850
326,2002,Slowakei,22908
327,2002,Slowenien,4572
328,2002,Somalia,738
329,2002,Spanien,18466
330,2002,Sudan (einschließlich Südsudan) (bis 08.07.2011),0
331,2002,Sudan (ohne Südsudan) (ab 09.07.2011),0
332,2002,Syrien,7060
333,2002,Südafrika,2624
334,2002,Südsudan (ab 09.07.2011),0
335,2002,Tadschikistan,284
336,2002,Tansania,406
337,2002,Thailand,13572
338,2002,Tschechien,20702
339,2002,Tunesien,4880
340,2002,Türkei,114374
341,2002,Uganda,592
342,2002,Ukraine,40636
343,2002,Unbekanntes Ausland,6956
344,2002,Ungarn,33062
345,2002,Ungeklärt / Ohne Angabe,4696
346,2002,Uruguay,288
347,2002,Usbekistan,3038
348,2002,"Venezuela, Bolivarische Republik",1092
349,2002,Vereinigte Arabische Emirate,522
350,2002,Vereinigte Staaten,33376
351,2002,Vereinigtes Königreich,20478
352,2002,Vietnam,13512
353,2002,Zentralafrikanische Republik,52
354,2002,Zypern,328
355,2002,Ägypten,4314
356,2002,Äthiopien,1996
357,2002,Österreich,21428
358,2002,Übriges Afrika,14202
359,2002,Übriges Amerika,6990
360,2002,Übriges Asien,13040
361,2002,Übriges Europa,55572
362,2002,Übriges Ozeanien,136
363,2003,Afghanistan,4330
364,2003,Albanien,2964
365,2003,Algerien,4716
366,2003,Andorra,28
367,2003,Angola,1132
368,2003,Argentinien,2646
369,2003,Armenien,2468
370,2003,Aserbaidschan,4574
371,2003,Australien,3678
372,2003,Belarus,8184
373,2003,Belgien,4724
374,2003,"Bolivien, Plurinationaler Staat",644
375,2003,Bosnien und Herzegowina,16622
376,2003,Brasilien,9760
377,2003,Bulgarien,26408
378,2003,Chile,1552
379,2003,China,31602
380,2003,Costa Rica,274
381,2003,Cote d'Ivoire,1232
382,2003,Dänemark,4382
383,2003,Estland,1686
384,2003,Finnland,4090
385,2003,Frankreich,26144
386,2003,Georgien,7724
387,2003,Ghana,3292
388,2003,Griechenland,24152
