"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"50,4"
"Bayern";"52,8"
"Berlin";"36,2"
"Brandenburg";"30,4"
"Bremen";"38,6"
"Hamburg";"49,1"
"Hessen";"46,4"
"Mecklenburg-Vorpommern";"33,0"
"Niedersachsen";"43,2"
"Nordrhein-Westfalen";"46,0"
"Rheinland-Pfalz";"46,3"
"Saarland";"46,5"
"Sachsen";"42,7"
"Sachsen-Anhalt";"33,4"
"Schleswig-Holstein";"41,0"
"Thüringen";"46,8"
