"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"44,9"
"Bayern";"44,4"
"Berlin";"44,0"
"Brandenburg";"38,3"
"Bremen";"41,9"
"Hamburg";"47,3"
"Hessen";"41,7"
"Mecklenburg-Vorpommern";"40,5"
"Niedersachsen";"41,5"
"Nordrhein-Westfalen";"41,6"
"Rheinland-Pfalz";"44,1"
"Saarland";"38,7"
"Sachsen";"40,0"
"Sachsen-Anhalt";"38,8"
"Schleswig-Holstein";"43,2"
"Thüringen";"44,1"
