"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"59,1"
"Bayern";"61,7"
"Berlin";"48,3"
"Brandenburg";"43,8"
"Bremen";"47,5"
"Hamburg";"53,1"
"Hessen";"53,3"
"Mecklenburg-Vorpommern";"37,0"
"Niedersachsen";"50,1"
"Nordrhein-Westfalen";"54,1"
"Rheinland-Pfalz";"54,6"
"Saarland";"52,7"
"Sachsen";"40,6"
"Sachsen-Anhalt";"36,5"
"Schleswig-Holstein";"49,3"
"Thüringen";"38,4"
