"Region";"Deutschland";"Regionsschlüssel:";"d"
"Gebietsstand";"April 2025"
"Berichtsmonat";"Zeitreihe"
"Datenstand";"April 2025"
"Indikator";"Auszubildende (sv.-pfl.)"
"StaatsangehörigkeitEs werden Grafiken und Daten nur zu denjenigen Staatsangehörigkeiten angezeigt, bei denen eine ausreichend gesicherte Datenlage besteht.";"Deutsche"
""
"Hinweise:";"Daten beziehen sich auf den Arbeitsort."
""
"Berichtsmonat ";"Frauen Auszubildende (sv.-pfl.) ";"Männer Auszubildende (sv.-pfl.) ";"Auszubildende (sv.-pfl.) "
"April 2023";"525.910";"707.380";"1.233.280"
"Mai 2023";"520.230";"700.750";"1.220.980"
"Juni 2023";"483.700";"654.680";"1.138.380"
"Juli 2023";"446.820";"603.550";"1.050.370"
"August 2023";"512.590";"709.970";"1.222.560"
"September 2023";"573.830";"822.210";"1.396.030"
"Oktober 2023";"578.790";"825.460";"1.404.250"
"November 2023";"573.760";"818.210";"1.391.970"
"Dezember 2023";"567.370";"809.150";"1.376.520"
"Januar 2024";"546.460";"769.000";"1.315.470"
"Februar 2024";"534.440";"732.400";"1.266.840"
"März 2024";"527.590";"719.010";"1.246.600"
"April 2024";"523.140";"714.140";"1.237.280"
"Mai 2024";"517.570";"707.590";"1.225.160"
"Juni 2024";"479.360";"658.030";"1.137.390"
"Juli 2024";"444.030";"608.670";"1.052.700"
"August 2024";"509.350";"714.120";"1.223.470"
"September 2024";"570.020";"822.400";"1.392.430"
"Oktober 2024";"574.720";"823.900";"1.398.620"
""
"Exportdatum: ";"21.05.2025";"13:36:37"
"© Statistik der Bundesagentur für Arbeit"
"Die Produkte unterliegen dem Urheberrecht (siehe Impressum: https://statistik.arbeitsagentur.de/DE/Home/Service/Impressum/impressum_node.html). Daten und Tabellen dürfen uneingeschränkt verwendet werden. Informationen dürfen (auch auszugsweise) gespeichert und mit Quellenangabe weitergegeben, vervielfältigt und verbreitet werden. Die Inhalte dürfen nicht verändert oder verfälscht werden. Eigene Berechnungen sind erlaubt, jedoch als solche kenntlich zu machen. Im Fall einer Veröffentlichung im Internet soll dies mit einer Verlinkung auf die Homepage der Statistik der Bundesagentur für Arbeit (https://statistik.arbeitsagentur.de/) erfolgen."
