Stichtag,Bundesland,Geschlecht,Ländergruppierungen_Code,Ländergruppierungen_Label,Anzahl,Ausländer
2024-12-31,Bayern,männlich,DRITT-EU-27-1,Drittstaaten zu EU-27 (seit 01.02.2020),702935,Ausländer
2024-12-31,Schleswig-Holstein,männlich,LDR-GASTARB,Gastarbeiterländer,38065,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,DRITT-EU-15,Drittstaaten zu EU-15 (bis 30.04.2004),280375,Ausländer
2024-12-31,Niedersachsen,weiblich,AFRIKAOST,Ostafrika,6555,Ausländer
2024-12-31,Hamburg,männlich,ASIENVOR,Vorderasien,23225,Ausländer
2024-12-31,Sachsen,männlich,AMERIKANORD,Nordamerika,1525,Ausländer
2024-12-31,Hessen,weiblich,EUROPA-EWG-06,EWG-6 (bis 31.12.1972),43780,Ausländer
2024-12-31,Bremen,weiblich,EUROPA,Europa,48515,Ausländer
2024-12-31,Sachsen-Anhalt,männlich,DRITT-EG-09,Drittstaaten zu EG-9 (bis 31.12.1980),103165,Ausländer
2024-12-31,Bremen,männlich,AFRIKAOST,Ostafrika,1890,Ausländer
2024-12-31,Baden-Württemberg,weiblich,LDR-CZ,Gebiet der ehemaligen Tschechoslowakei,8750,Ausländer
2024-12-31,Bremen,männlich,LDR-GASTARB,Gastarbeiterländer,24915,Ausländer
2024-12-31,Berlin,weiblich,AFRIKASUED,Südafrika,1470,Ausländer
2024-12-31,Schleswig-Holstein,weiblich,DRITT-EG-12,Drittstaaten zu EG-12 (bis 31.12.1994),153500,Ausländer
2024-12-31,Rheinland-Pfalz,weiblich,DRITT-EG-12,Drittstaaten zu EG-12 (bis 31.12.1994),255070,Ausländer
2024-12-31,Bremen,weiblich,DRITT-EG-12,Drittstaaten zu EG-12 (bis 31.12.1994),72010,Ausländer
2024-12-31,Sachsen,weiblich,AFRIKAWEST,Westafrika,730,Ausländer
2024-12-31,Hamburg,weiblich,ASIENOST2,Ost- und Zentralasien,20810,Ausländer
2024-12-31,Saarland,weiblich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),49100,Ausländer
2024-12-31,Hessen,männlich,EUROPA-EU-27,EU-27 (bis 30.06.2013),242875,Ausländer
2024-12-31,Hamburg,männlich,AMERIKAMIT2,Mittelamerika und Karibik,1500,Ausländer
2024-12-31,Niedersachsen,weiblich,EUROPA-EU-15,EU-15 (bis 30.04.2004),54035,Ausländer
2024-12-31,Berlin,männlich,LDR-GASTARB,Gastarbeiterländer,140340,Ausländer
2024-12-31,Brandenburg,weiblich,DRITT-EG-09,Drittstaaten zu EG-9 (bis 31.12.1980),95200,Ausländer
2024-12-31,Thüringen,weiblich,AMERIKASUD,Südamerika,730,Ausländer
2024-12-31,Schleswig-Holstein,weiblich,DRITT-EU-15,Drittstaaten zu EU-15 (bis 30.04.2004),150590,Ausländer
2024-12-31,Berlin,weiblich,DRITT-EU-27-1,Drittstaaten zu EU-27 (seit 01.02.2020),335880,Ausländer
2024-12-31,Hessen,männlich,LDR-YU,Gebiet des ehemaligen Jugoslawien,79935,Ausländer
2024-12-31,Hessen,weiblich,AFRIKANORD,Nordafrika,15175,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,ASIENSUED2,Süd- und Südostasien,14180,Ausländer
2024-12-31,Berlin,weiblich,EUROPA-EG-09,EG-9 (bis 31.12.1980),41780,Ausländer
2024-12-31,Sachsen-Anhalt,männlich,,Insgesamt,105320,Ausländer
2024-12-31,Thüringen,weiblich,EUROPA,Europa,54350,Ausländer
2024-12-31,Bremen,männlich,LDR-CZ,Gebiet der ehemaligen Tschechoslowakei,170,Ausländer
2024-12-31,Hamburg,männlich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),153400,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,DRITT-EG-10,Drittstaaten zu EG-10 (bis 31.12.1985),292540,Ausländer
2024-12-31,Hessen,männlich,EUROPA-EU-28,EU-28 (bis 31.01.2020),270885,Ausländer
2024-12-31,Saarland,weiblich,EUROPA-EU-25,EU-25 (bis 31.12.2006),22405,Ausländer
2024-12-31,Hessen,männlich,AMERIKANORD,Nordamerika,9395,Ausländer
2024-12-31,Bremen,weiblich,EUROPA-EWG-06,EWG-6 (bis 31.12.1972),2015,Ausländer
