Stichtag,Bundesland,Geschlecht,Ländergruppierungen_Code,Ländergruppierungen_Label,Anzahl,Ausländer
2024-12-31,Berlin,weiblich,ASIENSUED2,Süd- und Südostasien,41820,Ausländer
2024-12-31,Sachsen-Anhalt,weiblich,AFRIKA,Afrika,4465,Ausländer
2024-12-31,Sachsen,weiblich,AMERIKA,Amerika,9085,Ausländer
2024-12-31,Hessen,männlich,AMERIKA,Amerika,16060,Ausländer
2024-12-31,Saarland,männlich,AUSTRALIEN,Australien und Ozeanien,35,Ausländer
2024-12-31,Hamburg,weiblich,AMERIKANORD,Nordamerika,2580,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,DRITT-EG-09,Drittstaaten zu EG-9 (bis 31.12.1980),297995,Ausländer
2024-12-31,Hessen,männlich,ASIENVOR,Vorderasien,59880,Ausländer
2024-12-31,Sachsen-Anhalt,männlich,DRITT-EU-15,Drittstaaten zu EU-15 (bis 30.04.2004),100245,Ausländer
2024-12-31,Sachsen-Anhalt,männlich,DRITT-EWG-06,Drittstaaten zu EWG-6 (bis 31.12.1972),103505,Ausländer
2024-12-31,Bayern,weiblich,EUROPA-EU-28,EU-28 (bis 31.01.2020),475595,Ausländer
2024-12-31,Sachsen,männlich,LDR-GB,Vereinigtes Königreich einschl.brit.Überseegebiete,1080,Ausländer
2024-12-31,Bremen,männlich,AFRIKAZENTR,Zentralafrika,555,Ausländer
2024-12-31,Bremen,männlich,AMERIKASUD,Südamerika,610,Ausländer
2024-12-31,Saarland,männlich,EUROPA-EU-15,EU-15 (bis 30.04.2004),19045,Ausländer
2024-12-31,Thüringen,weiblich,EUROPA-EU-25,EU-25 (bis 31.12.2006),14600,Ausländer
2024-12-31,Sachsen-Anhalt,weiblich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),65315,Ausländer
2024-12-31,Saarland,weiblich,,Insgesamt,79250,Ausländer
2024-12-31,Niedersachsen,weiblich,ASIENVOR,Vorderasien,79195,Ausländer
2024-12-31,Schleswig-Holstein,männlich,EUROPA-EG-09,EG-9 (bis 31.12.1980),10190,Ausländer
2024-12-31,Brandenburg,männlich,DRITT-EU-15,Drittstaaten zu EU-15 (bis 30.04.2004),106040,Ausländer
2024-12-31,Sachsen,weiblich,EUROPA-EG-10,EG-10 (bis 31.12.1985),5990,Ausländer
2024-12-31,Schleswig-Holstein,männlich,DRITT-EG-09,Drittstaaten zu EG-9 (bis 31.12.1980),173600,Ausländer
2024-12-31,Sachsen-Anhalt,weiblich,DRITT-EU-28,Drittstaaten zu EU-28 (bis 31.01.2020),64675,Ausländer
2024-12-31,Saarland,männlich,EUROPA-EG-10,EG-10 (bis 31.12.1985),17175,Ausländer
2024-12-31,Saarland,männlich,LDR-GB,Vereinigtes Königreich einschl.brit.Überseegebiete,225,Ausländer
2024-12-31,Bremen,weiblich,AFRIKASUED,Südafrika,170,Ausländer
2024-12-31,Brandenburg,männlich,DRITT-EG-12,Drittstaaten zu EG-12 (bis 31.12.1994),107165,Ausländer
2024-12-31,Sachsen,weiblich,EUROPA-EU-15,EU-15 (bis 30.04.2004),9315,Ausländer
2024-12-31,Brandenburg,männlich,LDR-GB,Vereinigtes Königreich einschl.brit.Überseegebiete,740,Ausländer
2024-12-31,Mecklenburg-Vorpommern,weiblich,EUROPA-EWG-06,EWG-6 (bis 31.12.1972),1050,Ausländer
2024-12-31,Bremen,männlich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),64910,Ausländer
2024-12-31,Hessen,männlich,DRITT-EG-09,Drittstaaten zu EG-9 (bis 31.12.1980),639615,Ausländer
2024-12-31,Sachsen-Anhalt,weiblich,EUROPA-EG-09,EG-9 (bis 31.12.1980),1305,Ausländer
2024-12-31,Hamburg,männlich,LDR-SU,Gebiet der ehemaligen Sowjetunion,24060,Ausländer
2024-12-31,Brandenburg,männlich,LDR-CZ,Gebiet der ehemaligen Tschechoslowakei,775,Ausländer
2024-12-31,Bremen,männlich,AMERIKAMIT2,Mittelamerika und Karibik,270,Ausländer
2024-12-31,Sachsen,weiblich,ASIEN,Asien,45205,Ausländer
2024-12-31,Bremen,männlich,DRITT-EU-28,Drittstaaten zu EU-28 (bis 31.01.2020),64110,Ausländer
2024-12-31,Hamburg,männlich,EUROPA-EWG-06,EWG-6 (bis 31.12.1972),8200,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,LDR-GASTARB,Gastarbeiterländer,7160,Ausländer
2024-12-31,Hamburg,männlich,EUROPA-EU-25,EU-25 (bis 31.12.2006),38665,Ausländer
2024-12-31,Brandenburg,weiblich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),70925,Ausländer
2024-12-31,Niedersachsen,weiblich,DRITT-EU-15,Drittstaaten zu EU-15 (bis 30.04.2004),463445,Ausländer
2024-12-31,Brandenburg,männlich,ASIENSUED2,Süd- und Südostasien,7880,Ausländer
2024-12-31,Bremen,männlich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),71765,Ausländer
2024-12-31,Berlin,weiblich,,Insgesamt,479405,Ausländer
2024-12-31,Niedersachsen,männlich,AFRIKAWEST,Westafrika,11720,Ausländer
2024-12-31,Sachsen-Anhalt,weiblich,DRITT-EU-27-1,Drittstaaten zu EU-27 (seit 01.02.2020),64810,Ausländer
2024-12-31,Thüringen,männlich,LDR-GASTARB,Gastarbeiterländer,11770,Ausländer
2024-12-31,Saarland,männlich,AFRIKAOST,Ostafrika,890,Ausländer
2024-12-31,Schleswig-Holstein,weiblich,ASIENOST2,Ost- und Zentralasien,12290,Ausländer
2024-12-31,Baden-Württemberg,männlich,EUROPA-EU-25,EU-25 (bis 31.12.2006),299445,Ausländer
2024-12-31,Bremen,weiblich,AFRIKAOST,Ostafrika,1325,Ausländer
2024-12-31,Niedersachsen,weiblich,AUSTRALIEN,Australien und Ozeanien,390,Ausländer
2024-12-31,Schleswig-Holstein,männlich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),146305,Ausländer
2024-12-31,Brandenburg,weiblich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),76195,Ausländer
2024-12-31,Thüringen,weiblich,EUROPA-EU-15,EU-15 (bis 30.04.2004),3100,Ausländer
2024-12-31,Sachsen,weiblich,DRITT-EG-09,Drittstaaten zu EG-9 (bis 31.12.1980),160930,Ausländer
2024-12-31,Niedersachsen,männlich,DRITT-EG-09,Drittstaaten zu EG-9 (bis 31.12.1980),533970,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,AFRIKANORD,Nordafrika,1260,Ausländer
2024-12-31,Bayern,männlich,DRITT-EG-09,Drittstaaten zu EG-9 (bis 31.12.1980),1173625,Ausländer
2024-12-31,Nordrhein-Westfalen,männlich,EUROPA-EU-27-1,EU-27 (seit 01.02.2020),577960,Ausländer
2024-12-31,Baden-Württemberg,männlich,DRITT-EWG-06,Drittstaaten zu EWG-6 (bis 31.12.1972),1021890,Ausländer
2024-12-31,Nordrhein-Westfalen,weiblich,LDR-SU,Gebiet der ehemaligen Sowjetunion,246855,Ausländer
2024-12-31,Thüringen,männlich,DRITT-EU-15,Drittstaaten zu EU-15 (bis 30.04.2004),97975,Ausländer
2024-12-31,Thüringen,weiblich,AMERIKANORD,Nordamerika,380,Ausländer
2024-12-31,Saarland,männlich,AFRIKAWEST,Westafrika,675,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,DRITT-EU-15,Drittstaaten zu EU-15 (bis 30.04.2004),62760,Ausländer
2024-12-31,Hessen,weiblich,AMERIKA,Amerika,17695,Ausländer
2024-12-31,Nordrhein-Westfalen,weiblich,EUROPA-EU-15,EU-15 (bis 30.04.2004),221995,Ausländer
2024-12-31,Hamburg,männlich,DRITT-EWG-06,Drittstaaten zu EWG-6 (bis 31.12.1972),194570,Ausländer
2024-12-31,Baden-Württemberg,männlich,AMERIKANORD,Nordamerika,10905,Ausländer
2024-12-31,Saarland,weiblich,AUSTRALIEN,Australien und Ozeanien,30,Ausländer
2024-12-31,Baden-Württemberg,männlich,AMERIKA,Amerika,21790,Ausländer
2024-12-31,Baden-Württemberg,weiblich,AFRIKANORD,Nordafrika,11140,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,EUROPA-EU-27,EU-27 (bis 30.06.2013),20820,Ausländer
2024-12-31,Schleswig-Holstein,männlich,DRITT-EU-28,Drittstaaten zu EU-28 (bis 31.01.2020),126600,Ausländer
2024-12-31,Rheinland-Pfalz,weiblich,EUROPA-EG-12,EG-12 (bis 31.12.1994),40625,Ausländer
2024-12-31,Schleswig-Holstein,männlich,AMERIKAMIT2,Mittelamerika und Karibik,400,Ausländer
2024-12-31,Bayern,weiblich,AFRIKAZENTR,Zentralafrika,3140,Ausländer
2024-12-31,Berlin,weiblich,DRITT-EG-09,Drittstaaten zu EG-9 (bis 31.12.1980),437620,Ausländer
2024-12-31,Bayern,männlich,ASIENOST2,Ost- und Zentralasien,69070,Ausländer
2024-12-31,Baden-Württemberg,männlich,EUROPA-EU-27,EU-27 (bis 30.06.2013),427325,Ausländer
2024-12-31,Niedersachsen,weiblich,LDR-SM,Gebiet des ehemaligen Serbien und Montenegro,22955,Ausländer
2024-12-31,Sachsen-Anhalt,weiblich,ASIEN,Asien,26855,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),200825,Ausländer
2024-12-31,Bayern,weiblich,LDR-GB,Vereinigtes Königreich einschl.brit.Überseegebiete,4765,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,EUROPA-EU-28,EU-28 (bis 31.01.2020),21250,Ausländer
2024-12-31,Schleswig-Holstein,männlich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),128655,Ausländer
2024-12-31,Hamburg,weiblich,,Insgesamt,187680,Ausländer
2024-12-31,Brandenburg,männlich,AMERIKASUD,Südamerika,970,Ausländer
2024-12-31,Baden-Württemberg,weiblich,EUROPA-EU-27-1,EU-27 (seit 01.02.2020),422580,Ausländer
2024-12-31,Hamburg,männlich,ASIENOST2,Ost- und Zentralasien,25035,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,DRITT-EU-28,Drittstaaten zu EU-28 (bis 31.01.2020),192785,Ausländer
2024-12-31,Hessen,männlich,AUSTRALIEN,Australien und Ozeanien,705,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,AMERIKAMIT2,Mittelamerika und Karibik,895,Ausländer
2024-12-31,Nordrhein-Westfalen,männlich,,Insgesamt,1702970,Ausländer
2024-12-31,Saarland,männlich,LDR-GASTARB,Gastarbeiterländer,22300,Ausländer
2024-12-31,Niedersachsen,männlich,AFRIKAOST,Ostafrika,8145,Ausländer
2024-12-31,Bremen,weiblich,LDR-CZ,Gebiet der ehemaligen Tschechoslowakei,180,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,EUROPA-EU-25,EU-25 (bis 31.12.2006),15960,Ausländer
2024-12-31,Rheinland-Pfalz,weiblich,EUROPA-EG-10,EG-10 (bis 31.12.1985),33145,Ausländer
2024-12-31,Hamburg,männlich,EUROPA-EU-28,EU-28 (bis 31.01.2020),52695,Ausländer
2024-12-31,Berlin,weiblich,AFRIKAOST,Ostafrika,3415,Ausländer
2024-12-31,Brandenburg,weiblich,EUROPA,Europa,62815,Ausländer
2024-12-31,Berlin,männlich,DRITT-EU-28,Drittstaaten zu EU-28 (bis 31.01.2020),352360,Ausländer
2024-12-31,Sachsen-Anhalt,männlich,ASIENVOR,Vorderasien,22840,Ausländer
2024-12-31,Rheinland-Pfalz,weiblich,ASIENSUED2,Süd- und Südostasien,16790,Ausländer
2024-12-31,Berlin,männlich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),359425,Ausländer
2024-12-31,Schleswig-Holstein,männlich,EUROPA-EG-12,EG-12 (bis 31.12.1994),16565,Ausländer
2024-12-31,Bremen,männlich,AFRIKA,Afrika,10280,Ausländer
2024-12-31,Hamburg,männlich,LDR-SM,Gebiet des ehemaligen Serbien und Montenegro,5925,Ausländer
2024-12-31,Thüringen,weiblich,LDR-CZ,Gebiet der ehemaligen Tschechoslowakei,2280,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,LDR-SM,Gebiet des ehemaligen Serbien und Montenegro,590,Ausländer
2024-12-31,Hamburg,männlich,EUROPA-EU-27,EU-27 (bis 30.06.2013),49365,Ausländer
2024-12-31,Bremen,weiblich,EUROPA-EU-27-1,EU-27 (seit 01.02.2020),18765,Ausländer
2024-12-31,Baden-Württemberg,männlich,EUROPA-EU-28,EU-28 (bis 31.01.2020),490010,Ausländer
2024-12-31,Bayern,weiblich,AFRIKAWEST,Westafrika,13510,Ausländer
2024-12-31,Brandenburg,weiblich,EUROPA-EU-25,EU-25 (bis 31.12.2006),21700,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,EUROPA,Europa,228805,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,LDR-SU,Gebiet der ehemaligen Sowjetunion,16955,Ausländer
2024-12-31,Schleswig-Holstein,weiblich,DRITT-EWG-06,Drittstaaten zu EWG-6 (bis 31.12.1972),162435,Ausländer
2024-12-31,Hessen,männlich,AFRIKA,Afrika,49985,Ausländer
2024-12-31,Schleswig-Holstein,männlich,AFRIKANORD,Nordafrika,3000,Ausländer
2024-12-31,Schleswig-Holstein,weiblich,DRITT-EU-28,Drittstaaten zu EU-28 (bis 31.01.2020),118015,Ausländer
2024-12-31,Schleswig-Holstein,weiblich,AMERIKAMIT2,Mittelamerika und Karibik,610,Ausländer
2024-12-31,Saarland,weiblich,LDR-GASTARB,Gastarbeiterländer,19255,Ausländer
2024-12-31,Hessen,weiblich,AFRIKAZENTR,Zentralafrika,2040,Ausländer
2024-12-31,Niedersachsen,weiblich,EUROPA-EU-28,EU-28 (bis 31.01.2020),171130,Ausländer
2024-12-31,Schleswig-Holstein,weiblich,DRITT-EU-27-1,Drittstaaten zu EU-27 (seit 01.02.2020),118605,Ausländer
2024-12-31,Hessen,männlich,AFRIKASUED,Südafrika,895,Ausländer
2024-12-31,Berlin,männlich,AMERIKASUD,Südamerika,10075,Ausländer
2024-12-31,Bremen,männlich,,Insgesamt,84295,Ausländer
2024-12-31,Schleswig-Holstein,männlich,EUROPA-EG-10,EG-10 (bis 31.12.1985),12900,Ausländer
2024-12-31,Niedersachsen,weiblich,EUROPA-EU-27,EU-27 (bis 30.06.2013),165735,Ausländer
2024-12-31,Schleswig-Holstein,weiblich,EUROPA-EG-10,EG-10 (bis 31.12.1985),10430,Ausländer
2024-12-31,Thüringen,weiblich,ASIEN,Asien,24615,Ausländer
2024-12-31,Sachsen,männlich,EUROPA-EG-09,EG-9 (bis 31.12.1980),6810,Ausländer
2024-12-31,Niedersachsen,männlich,ASIENVOR,Vorderasien,103060,Ausländer
2024-12-31,Schleswig-Holstein,weiblich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),119550,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,ASIENVOR,Vorderasien,41410,Ausländer
2024-12-31,Rheinland-Pfalz,weiblich,LDR-GB,Vereinigtes Königreich einschl.brit.Überseegebiete,1000,Ausländer
2024-12-31,Bayern,männlich,DRITT-EWG-06,Drittstaaten zu EWG-6 (bis 31.12.1972),1184620,Ausländer
2024-12-31,Bayern,weiblich,AFRIKA,Afrika,48425,Ausländer
2024-12-31,Hamburg,männlich,LDR-GASTARB,Gastarbeiterländer,58505,Ausländer
2024-12-31,Hessen,weiblich,ASIENOST2,Ost- und Zentralasien,48975,Ausländer
2024-12-31,Schleswig-Holstein,weiblich,EUROPA-EWG-06,EWG-6 (bis 31.12.1972),4440,Ausländer
2024-12-31,Thüringen,männlich,DRITT-EG-10,Drittstaaten zu EG-10 (bis 31.12.1985),99630,Ausländer
2024-12-31,Hamburg,weiblich,LDR-CZ,Gebiet der ehemaligen Tschechoslowakei,640,Ausländer
2024-12-31,Schleswig-Holstein,männlich,EUROPA-EU-27,EU-27 (bis 30.06.2013),55135,Ausländer
2024-12-31,Nordrhein-Westfalen,männlich,EUROPA-EG-09,EG-9 (bis 31.12.1980),148980,Ausländer
2024-12-31,Niedersachsen,weiblich,EUROPA-EU-25,EU-25 (bis 31.12.2006),115175,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),246450,Ausländer
2024-12-31,Schleswig-Holstein,männlich,LDR-YU,Gebiet des ehemaligen Jugoslawien,9885,Ausländer
2024-12-31,Sachsen-Anhalt,weiblich,AMERIKA,Amerika,1325,Ausländer
2024-12-31,Schleswig-Holstein,männlich,EUROPA-EU-25,EU-25 (bis 31.12.2006),37480,Ausländer
2024-12-31,Schleswig-Holstein,weiblich,EUROPA-EG-12,EG-12 (bis 31.12.1994),13375,Ausländer
2024-12-31,Niedersachsen,weiblich,DRITT-EG-09,Drittstaaten zu EG-9 (bis 31.12.1980),487010,Ausländer
2024-12-31,Hessen,weiblich,ASIENSUED2,Süd- und Südostasien,42995,Ausländer
2024-12-31,Schleswig-Holstein,weiblich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),133365,Ausländer
2024-12-31,Saarland,männlich,DRITT-EU-15,Drittstaaten zu EU-15 (bis 30.04.2004),65640,Ausländer
2024-12-31,Sachsen-Anhalt,weiblich,LDR-SM,Gebiet des ehemaligen Serbien und Montenegro,1790,Ausländer
2024-12-31,Nordrhein-Westfalen,weiblich,AMERIKA,Amerika,28680,Ausländer
2024-12-31,Mecklenburg-Vorpommern,weiblich,ASIENSUED2,Süd- und Südostasien,3530,Ausländer
2024-12-31,Brandenburg,weiblich,ASIENVOR,Vorderasien,11080,Ausländer
2024-12-31,Niedersachsen,weiblich,AFRIKASUED,Südafrika,1490,Ausländer
2024-12-31,Bremen,weiblich,EUROPA-EG-09,EG-9 (bis 31.12.1980),2380,Ausländer
2024-12-31,Thüringen,weiblich,ASIENVOR,Vorderasien,12815,Ausländer
2024-12-31,Sachsen-Anhalt,männlich,LDR-SU,Gebiet der ehemaligen Sowjetunion,20065,Ausländer
2024-12-31,Sachsen-Anhalt,weiblich,EUROPA-EWG-06,EWG-6 (bis 31.12.1972),1110,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,ASIENSUED2,Süd- und Südostasien,3635,Ausländer
2024-12-31,Niedersachsen,weiblich,DRITT-EU-27-1,Drittstaaten zu EU-27 (seit 01.02.2020),347970,Ausländer
2024-12-31,Schleswig-Holstein,männlich,ASIENSUED2,Süd- und Südostasien,5715,Ausländer
2024-12-31,Rheinland-Pfalz,weiblich,AFRIKA,Afrika,14440,Ausländer
2024-12-31,Bremen,weiblich,LDR-YU,Gebiet des ehemaligen Jugoslawien,6010,Ausländer
2024-12-31,Rheinland-Pfalz,weiblich,EUROPA-EU-27-1,EU-27 (seit 01.02.2020),115165,Ausländer
2024-12-31,Brandenburg,männlich,AFRIKASUED,Südafrika,295,Ausländer
2024-12-31,Nordrhein-Westfalen,männlich,AMERIKASUD,Südamerika,9335,Ausländer
2024-12-31,Nordrhein-Westfalen,männlich,LDR-GASTARB,Gastarbeiterländer,623575,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,,Insgesamt,66955,Ausländer
2024-12-31,Thüringen,männlich,EUROPA-EG-12,EG-12 (bis 31.12.1994),4365,Ausländer
2024-12-31,Hessen,männlich,LDR-GB,Vereinigtes Königreich einschl.brit.Überseegebiete,4575,Ausländer
2024-12-31,Bremen,männlich,EUROPA-EU-27-1,EU-27 (seit 01.02.2020),19680,Ausländer
2024-12-31,Schleswig-Holstein,männlich,LDR-CZ,Gebiet der ehemaligen Tschechoslowakei,690,Ausländer
2024-12-31,Mecklenburg-Vorpommern,weiblich,DRITT-EWG-06,Drittstaaten zu EWG-6 (bis 31.12.1972),56610,Ausländer
2024-12-31,Thüringen,weiblich,EUROPA-EG-09,EG-9 (bis 31.12.1980),1500,Ausländer
2024-12-31,Sachsen-Anhalt,männlich,AFRIKAWEST,Westafrika,3530,Ausländer
2024-12-31,Saarland,weiblich,ASIENSUED2,Süd- und Südostasien,3240,Ausländer
2024-12-31,Bremen,männlich,LDR-GB,Vereinigtes Königreich einschl.brit.Überseegebiete,505,Ausländer
2024-12-31,Thüringen,männlich,EUROPA-EU-15,EU-15 (bis 30.04.2004),4915,Ausländer
2024-12-31,Baden-Württemberg,weiblich,DRITT-EWG-06,Drittstaaten zu EWG-6 (bis 31.12.1972),949370,Ausländer
2024-12-31,Hamburg,weiblich,LDR-YU,Gebiet des ehemaligen Jugoslawien,14815,Ausländer
2024-12-31,Mecklenburg-Vorpommern,weiblich,DRITT-EU-27-1,Drittstaaten zu EU-27 (seit 01.02.2020),42105,Ausländer
2024-12-31,Baden-Württemberg,männlich,LDR-YU,Gebiet des ehemaligen Jugoslawien,188270,Ausländer
2024-12-31,Berlin,weiblich,AUSTRALIEN,Australien und Ozeanien,1880,Ausländer
2024-12-31,Sachsen-Anhalt,männlich,AFRIKAOST,Ostafrika,2220,Ausländer
2024-12-31,Thüringen,männlich,EUROPA-EG-10,EG-10 (bis 31.12.1985),3260,Ausländer
2024-12-31,Thüringen,weiblich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),70275,Ausländer
2024-12-31,Nordrhein-Westfalen,männlich,EUROPA-EG-12,EG-12 (bis 31.12.1994),251365,Ausländer
2024-12-31,Hessen,männlich,AMERIKASUD,Südamerika,4740,Ausländer
2024-12-31,Sachsen,weiblich,EUROPA-EU-25,EU-25 (bis 31.12.2006),32955,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,DRITT-EG-12,Drittstaaten zu EG-12 (bis 31.12.1994),63310,Ausländer
2024-12-31,Baden-Württemberg,männlich,LDR-GASTARB,Gastarbeiterländer,508920,Ausländer
2024-12-31,Saarland,männlich,DRITT-EG-10,Drittstaaten zu EG-10 (bis 31.12.1985),67510,Ausländer
2024-12-31,Nordrhein-Westfalen,weiblich,DRITT-EU-27-1,Drittstaaten zu EU-27 (seit 01.02.2020),1066375,Ausländer
2024-12-31,Nordrhein-Westfalen,weiblich,EUROPA-EG-12,EG-12 (bis 31.12.1994),207060,Ausländer
2024-12-31,Sachsen,weiblich,AFRIKAOST,Ostafrika,1685,Ausländer
2024-12-31,Sachsen,männlich,LDR-YU,Gebiet des ehemaligen Jugoslawien,6175,Ausländer
2024-12-31,Brandenburg,weiblich,AMERIKASUD,Südamerika,1240,Ausländer
2024-12-31,Rheinland-Pfalz,weiblich,EUROPA-EU-28,EU-28 (bis 31.01.2020),116155,Ausländer
2024-12-31,Bayern,männlich,LDR-SM,Gebiet des ehemaligen Serbien und Montenegro,71455,Ausländer
2024-12-31,Baden-Württemberg,männlich,EUROPA-EG-10,EG-10 (bis 31.12.1985),167240,Ausländer
2024-12-31,Sachsen,männlich,AFRIKAOST,Ostafrika,2715,Ausländer
2024-12-31,Bayern,männlich,AFRIKAWEST,Westafrika,20485,Ausländer
2024-12-31,Hamburg,weiblich,AFRIKANORD,Nordafrika,2810,Ausländer
2024-12-31,Brandenburg,weiblich,,Insgesamt,97900,Ausländer
2024-12-31,Rheinland-Pfalz,weiblich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),186730,Ausländer
2024-12-31,Schleswig-Holstein,weiblich,LDR-SM,Gebiet des ehemaligen Serbien und Montenegro,3880,Ausländer
2024-12-31,Brandenburg,männlich,EUROPA-EWG-06,EWG-6 (bis 31.12.1972),3035,Ausländer
2024-12-31,Nordrhein-Westfalen,männlich,ASIENOST2,Ost- und Zentralasien,85680,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,DRITT-EU-27-1,Drittstaaten zu EU-27 (seit 01.02.2020),194570,Ausländer
2024-12-31,Schleswig-Holstein,weiblich,ASIENSUED2,Süd- und Südostasien,7175,Ausländer
2024-12-31,Schleswig-Holstein,männlich,DRITT-EG-10,Drittstaaten zu EG-10 (bis 31.12.1985),170885,Ausländer
2024-12-31,Brandenburg,männlich,AUSTRALIEN,Australien und Ozeanien,165,Ausländer
2024-12-31,Niedersachsen,männlich,EUROPA-EG-09,EG-9 (bis 31.12.1980),41655,Ausländer
2024-12-31,Thüringen,weiblich,DRITT-EU-27,Drittstaaten zu EU-27 (bis 30.06.2013),61900,Ausländer
2024-12-31,Saarland,männlich,EUROPA-EG-09,EG-9 (bis 31.12.1980),16330,Ausländer
2024-12-31,Mecklenburg-Vorpommern,weiblich,LDR-SM,Gebiet des ehemaligen Serbien und Montenegro,515,Ausländer
2024-12-31,Niedersachsen,männlich,LDR-CZ,Gebiet der ehemaligen Tschechoslowakei,2580,Ausländer
2024-12-31,Brandenburg,weiblich,LDR-CZ,Gebiet der ehemaligen Tschechoslowakei,1000,Ausländer
2024-12-31,Saarland,männlich,DRITT-EG-12,Drittstaaten zu EG-12 (bis 31.12.1994),66310,Ausländer
2024-12-31,Niedersachsen,weiblich,EUROPA-EU-27-1,EU-27 (seit 01.02.2020),169510,Ausländer
2024-12-31,Baden-Württemberg,männlich,LDR-CZ,Gebiet der ehemaligen Tschechoslowakei,7615,Ausländer
2024-12-31,Niedersachsen,weiblich,DRITT-EG-12,Drittstaaten zu EG-12 (bis 31.12.1994),468705,Ausländer
2024-12-31,Rheinland-Pfalz,weiblich,LDR-SM,Gebiet des ehemaligen Serbien und Montenegro,12510,Ausländer
2024-12-31,Nordrhein-Westfalen,weiblich,AMERIKASUD,Südamerika,14910,Ausländer
2024-12-31,Bayern,männlich,EUROPA-EG-09,EG-9 (bis 31.12.1980),95295,Ausländer
2024-12-31,Mecklenburg-Vorpommern,männlich,DRITT-EG-10,Drittstaaten zu EG-10 (bis 31.12.1985),63985,Ausländer
2024-12-31,Thüringen,weiblich,DRITT-EU-28,Drittstaaten zu EU-28 (bis 31.01.2020),61420,Ausländer
2024-12-31,Baden-Württemberg,weiblich,EUROPA,Europa,810620,Ausländer
2024-12-31,Nordrhein-Westfalen,weiblich,EUROPA-EU-27-1,EU-27 (seit 01.02.2020),504205,Ausländer
2024-12-31,Nordrhein-Westfalen,weiblich,EUROPA-EG-10,EG-10 (bis 31.12.1985),161615,Ausländer
2024-12-31,Bremen,weiblich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),65495,Ausländer
2024-12-31,Sachsen-Anhalt,weiblich,AFRIKAWEST,Westafrika,1230,Ausländer
2024-12-31,Rheinland-Pfalz,männlich,AMERIKA,Amerika,8590,Ausländer
2024-12-31,Rheinland-Pfalz,weiblich,DRITT-EU-25,Drittstaaten zu EU-25 (bis 31.12.2006),221430,Ausländer
2024-12-31,Mecklenburg-Vorpommern,weiblich,AMERIKA,Amerika,1160,Ausländer
2024-12-31,Nordrhein-Westfalen,weiblich,AFRIKA,Afrika,90940,Ausländer
2024-12-31,Mecklenburg-Vorpommern,weiblich,EUROPA-EG-09,EG-9 (bis 31.12.1980),1265,Ausländer
2024-12-31,Bremen,männlich,AFRIKAWEST,Westafrika,5700,Ausländer
2024-12-31,Berlin,männlich,LDR-SM,Gebiet des ehemaligen Serbien und Montenegro,12900,Ausländer
2024-12-31,Bremen,männlich,DRITT-EG-10,Drittstaaten zu EG-10 (bis 31.12.1985),80040,Ausländer
2024-12-31,Schleswig-Holstein,weiblich,EUROPA-EU-28,EU-28 (bis 31.01.2020),48860,Ausländer
2024-12-31,Thüringen,weiblich,EUROPA-EG-12,EG-12 (bis 31.12.1994),2635,Ausländer
2024-12-31,Schleswig-Holstein,männlich,EUROPA-EU-15,EU-15 (bis 30.04.2004),18780,Ausländer
2024-12-31,Saarland,weiblich,AFRIKAWEST,Westafrika,580,Ausländer
