Bundesland,Bildungsbereich,Schulart,Anzahl,Geschlecht,Herkunft
Deutschland,Primarbereich,Integrierte Gesamtschulen,5616,weiblich,ausland
Deutschland,Primarbereich,Freie Waldorfschulen,327,weiblich,ausland
Deutschland,Sekundarbereich I,Schulartunabhängige Orientierungsstufe,8184,weiblich,ausland
Deutschland,Sekundarbereich I,Hauptschulen,41835,weiblich,ausland
Deutschland,Sekundarbereich I,Schularten mit mehreren Bildungsgängen,26976,weiblich,ausland
Deutschland,Sekundarbereich I,Realschulen,40545,weiblich,ausland
Deutschland,Sekundarbereich I,Gymnasien,47523,weiblich,ausland
Deutschland,Sekundarbereich I,Integrierte Gesamtschulen,63048,weiblich,ausland
Deutschland,Sekundarbereich I,Freie Waldorfschulen,540,weiblich,ausland
Deutschland,Sekundarbereich I,Abendhauptschulen,192,weiblich,ausland
Deutschland,Sekundarbereich I,Abendrealschulen,2865,weiblich,ausland
Deutschland,Sekundarbereich II,Gymnasien,19260,weiblich,ausland
Deutschland,Sekundarbereich II,Integrierte Gesamtschulen,5841,weiblich,ausland
Deutschland,Sekundarbereich II,Freie Waldorfschulen,210,weiblich,ausland
Deutschland,Sekundarbereich II,Abendgymnasien,897,weiblich,ausland
Deutschland,Sekundarbereich II,Kollegs,1191,weiblich,ausland
Deutschland,Keinem Bereich zugeordnet,Förderschulen,17103,weiblich,ausland
Deutschland,Keinem Bereich zugeordnet,Keine Zuordnung zu einer Schulart möglich 5,3975,weiblich,ausland
