"Region";"Deutschland";"Regionsschlüssel:";"d"
"Gebietsstand";"April 2025"
"Berichtsjahr";"2020"
"Datenstand";"April 2025"
"Indikator";"Arbeitslose"
"StaatsangehörigkeitEs werden Grafiken und Daten nur zu denjenigen Staatsangehörigkeiten angezeigt, bei denen eine ausreichend gesicherte Datenlage besteht.";"Insgesamt"
""
"Hinweise:";"Bei den dargestellten Werten handelt es sich um Jahresdurchschnitte. "
""
"Merkmal ";"JD Arbeitslose ";"Anteil an Insgesamt in % "
"unter 25 Jahre";"257.362";"10"
"25 bis unter 55 Jahre ";"1.858.818";"69"
"55 Jahre und älter";"579.121";"21"
"Keine Angabe";"143";"0"
""
"Exportdatum: ";"21.05.2025";"18:22:33"
"© Statistik der Bundesagentur für Arbeit"
"Die Produkte unterliegen dem Urheberrecht (siehe Impressum: https://statistik.arbeitsagentur.de/DE/Home/Service/Impressum/impressum_node.html). Daten und Tabellen dürfen uneingeschränkt verwendet werden. Informationen dürfen (auch auszugsweise) gespeichert und mit Quellenangabe weitergegeben, vervielfältigt und verbreitet werden. Die Inhalte dürfen nicht verändert oder verfälscht werden. Eigene Berechnungen sind erlaubt, jedoch als solche kenntlich zu machen. Im Fall einer Veröffentlichung im Internet soll dies mit einer Verlinkung auf die Homepage der Statistik der Bundesagentur für Arbeit (https://statistik.arbeitsagentur.de/) erfolgen."
