"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"65,1"
"Bayern";"62,2"
"Berlin";"46,4"
"Brandenburg";"51,6"
"Bremen";"59,4"
"Hamburg";"74,6"
"Hessen";"58,8"
"Mecklenburg-Vorpommern";"48,5"
"Niedersachsen";"56,7"
"Nordrhein-Westfalen";"53,8"
"Rheinland-Pfalz";"58,3"
"Saarland";"52,7"
"Sachsen";"56,3"
"Sachsen-Anhalt";"50,7"
"Schleswig-Holstein";"49,7"
"Thüringen";"52,2"
