"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"57,2"
"Bayern";"55,3"
"Berlin";"54,9"
"Brandenburg";"42,1"
"Bremen";"48,0"
"Hamburg";"55,2"
"Hessen";"56,3"
"Mecklenburg-Vorpommern";"39,0"
"Niedersachsen";"51,3"
"Nordrhein-Westfalen";"49,0"
"Rheinland-Pfalz";"52,2"
"Saarland";"47,5"
"Sachsen";"37,1"
"Sachsen-Anhalt";"47,2"
"Schleswig-Holstein";"50,1"
"Thüringen";"55,3"
