"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"48,0"
"Bayern";"47,7"
"Berlin";"27,9"
"Brandenburg";"29,3"
"Bremen";"39,1"
"Hamburg";"45,6"
"Hessen";"40,9"
"Mecklenburg-Vorpommern";"27,5"
"Niedersachsen";"41,6"
"Nordrhein-Westfalen";"38,5"
"Rheinland-Pfalz";"43,8"
"Saarland";"43,5"
"Sachsen";"37,2"
"Sachsen-Anhalt";"34,7"
"Schleswig-Holstein";"37,2"
"Thüringen";"41,8"
