"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"41,1"
"Bayern";"42,4"
"Berlin";"33,0"
"Brandenburg";"30,9"
"Bremen";"32,1"
"Hamburg";"37,0"
"Hessen";"35,5"
"Mecklenburg-Vorpommern";"34,0"
"Niedersachsen";"34,4"
"Nordrhein-Westfalen";"31,6"
"Rheinland-Pfalz";"37,5"
"Saarland";"33,4"
"Sachsen";"35,1"
"Sachsen-Anhalt";"31,3"
"Schleswig-Holstein";"32,2"
"Thüringen";"35,4"
