"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"40,9"
"Bayern";"40,5"
"Berlin";"23,8"
"Brandenburg";"16,7"
"Bremen";"32,7"
"Hamburg";"30,3"
"Hessen";"34,8"
"Mecklenburg-Vorpommern";"21,0"
"Niedersachsen";"32,1"
"Nordrhein-Westfalen";"31,3"
"Rheinland-Pfalz";"39,8"
"Saarland";"32,9"
"Sachsen";"30,1"
"Sachsen-Anhalt";"23,3"
"Schleswig-Holstein";"27,8"
"Thüringen";"33,1"
