"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"46,0"
"Bayern";"48,5"
"Berlin";"34,2"
"Brandenburg";"38,5"
"Bremen";"36,2"
"Hamburg";"29,2"
"Hessen";"46,4"
"Mecklenburg-Vorpommern";"35,3"
"Niedersachsen";"37,1"
"Nordrhein-Westfalen";"34,3"
"Rheinland-Pfalz";"45,2"
"Saarland";"38,6"
"Sachsen";"37,9"
"Sachsen-Anhalt";"31,8"
"Schleswig-Holstein";"32,2"
"Thüringen";"45,6"
