"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"66,8"
"Bayern";"64,8"
"Berlin";"52,1"
"Brandenburg";"53,6"
"Bremen";"65,1"
"Hamburg";"89,8"
"Hessen";"60,8"
"Mecklenburg-Vorpommern";"49,8"
"Niedersachsen";"58,6"
"Nordrhein-Westfalen";"56,2"
"Rheinland-Pfalz";"60,1"
"Saarland";"54,6"
"Sachsen";"56,8"
"Sachsen-Anhalt";"54,2"
"Schleswig-Holstein";"51,7"
"Thüringen";"53,1"
