"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"59,9"
"Bayern";"61,3"
"Berlin";"45,2"
"Brandenburg";"38,4"
"Bremen";"47,5"
"Hamburg";"52,3"
"Hessen";"53,3"
"Mecklenburg-Vorpommern";"29,1"
"Niedersachsen";"50,0"
"Nordrhein-Westfalen";"53,4"
"Rheinland-Pfalz";"55,1"
"Saarland";"52,5"
"Sachsen";"35,8"
"Sachsen-Anhalt";"34,0"
"Schleswig-Holstein";"48,2"
"Thüringen";"36,6"
