"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"38,8"
"Bayern";"41,3"
"Berlin";"29,3"
"Brandenburg";"26,7"
"Bremen";"40,3"
"Hamburg";"43,6"
"Hessen";"37,4"
"Mecklenburg-Vorpommern";"24,0"
"Niedersachsen";"38,8"
"Nordrhein-Westfalen";"35,4"
"Rheinland-Pfalz";"38,9"
"Saarland";"40,9"
"Sachsen";"34,8"
"Sachsen-Anhalt";"32,5"
"Schleswig-Holstein";"36,8"
"Thüringen";"38,4"
