"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"22,9"
"Bayern";"28,6"
"Berlin";"27,8"
"Brandenburg";"22,4"
"Bremen";"18,4"
"Hamburg";"23,0"
"Hessen";"22,5"
"Mecklenburg-Vorpommern";"22,8"
"Niedersachsen";"22,7"
"Nordrhein-Westfalen";"20,9"
"Rheinland-Pfalz";"25,2"
"Saarland";"15,3"
"Sachsen";"18,8"
"Sachsen-Anhalt";"20,2"
"Schleswig-Holstein";"22,0"
"Thüringen";"19,8"
