"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"46,2"
"Bayern";"45,7"
"Berlin";"30,9"
"Brandenburg";"21,4"
"Bremen";"38,8"
"Hamburg";"42,1"
"Hessen";"41,4"
"Mecklenburg-Vorpommern";"27,7"
"Niedersachsen";"38,6"
"Nordrhein-Westfalen";"39,2"
"Rheinland-Pfalz";"41,5"
"Saarland";"39,8"
"Sachsen";"36,4"
"Sachsen-Anhalt";"28,1"
"Schleswig-Holstein";"34,5"
"Thüringen";"39,6"
