"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"62,6"
"Bayern";"71,8"
"Berlin";"65,5"
"Brandenburg";"49,5"
"Bremen";"57,0"
"Hamburg";"60,8"
"Hessen";"64,4"
"Mecklenburg-Vorpommern";"39,4"
"Niedersachsen";"69,7"
"Nordrhein-Westfalen";"59,4"
"Rheinland-Pfalz";"68,1"
"Saarland";"54,3"
"Sachsen";"46,5"
"Sachsen-Anhalt";"74,0"
"Schleswig-Holstein";"65,2"
"Thüringen";"61,9"
