"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"46,6"
"Bayern";"50,1"
"Berlin";"35,6"
"Brandenburg";"39,9"
"Bremen";"38,8"
"Hamburg";"30,6"
"Hessen";"46,5"
"Mecklenburg-Vorpommern";"32,7"
"Niedersachsen";"39,6"
"Nordrhein-Westfalen";"35,5"
"Rheinland-Pfalz";"48,2"
"Saarland";"37,9"
"Sachsen";"40,1"
"Sachsen-Anhalt";"33,6"
"Schleswig-Holstein";"35,1"
"Thüringen";"46,8"
