"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"42,9"
"Bayern";"42,0"
"Berlin";"38,5"
"Brandenburg";"32,4"
"Bremen";"39,2"
"Hamburg";"44,5"
"Hessen";"39,2"
"Mecklenburg-Vorpommern";"37,7"
"Niedersachsen";"37,9"
"Nordrhein-Westfalen";"36,6"
"Rheinland-Pfalz";"40,9"
"Saarland";"36,7"
"Sachsen";"32,9"
"Sachsen-Anhalt";"33,0"
"Schleswig-Holstein";"38,4"
"Thüringen";"39,0"
