"Region";"Deutschland";"Regionsschlüssel:";"d"
"Gebietsstand";"April 2025"
"Berichtsjahr";"2015"
"Datenstand";"April 2025"
"Indikator";"Beschäftigte"
"StaatsangehörigkeitEs werden Grafiken und Daten nur zu denjenigen Staatsangehörigkeiten angezeigt, bei denen eine ausreichend gesicherte Datenlage besteht.";"Ausländer"
""
"Hinweise:";"In der Beschäftigungsstatistik ist der Stichtag 30.06. repräsentativ als Jahreswert zu sehen. Daten beziehen sich auf den Arbeitsort."
""
"Merkmal ";"Beschäftigte ";"Anteil an Insgesamt in % "
"Ohne Berufsabschluss";"834.190";"24"
"Anerkannter Berufsabschluss";"1.093.470";"31"
"Akademischer Berufsabschluss";"397.440";"11"
"Keine Angabe";"1.175.780";"34"
""
"Exportdatum: ";"21.05.2025";"16:25:56"
"© Statistik der Bundesagentur für Arbeit"
"Die Produkte unterliegen dem Urheberrecht (siehe Impressum: https://statistik.arbeitsagentur.de/DE/Home/Service/Impressum/impressum_node.html). Daten und Tabellen dürfen uneingeschränkt verwendet werden. Informationen dürfen (auch auszugsweise) gespeichert und mit Quellenangabe weitergegeben, vervielfältigt und verbreitet werden. Die Inhalte dürfen nicht verändert oder verfälscht werden. Eigene Berechnungen sind erlaubt, jedoch als solche kenntlich zu machen. Im Fall einer Veröffentlichung im Internet soll dies mit einer Verlinkung auf die Homepage der Statistik der Bundesagentur für Arbeit (https://statistik.arbeitsagentur.de/) erfolgen."
