"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"32,7"
"Bayern";"37,4"
"Berlin";"31,0"
"Brandenburg";"32,6"
"Bremen";"25,9"
"Hamburg";"30,4"
"Hessen";"30,6"
"Mecklenburg-Vorpommern";"30,0"
"Niedersachsen";"34,7"
"Nordrhein-Westfalen";"29,2"
"Rheinland-Pfalz";"35,4"
"Saarland";"24,1"
"Sachsen";"26,6"
"Sachsen-Anhalt";"29,6"
"Schleswig-Holstein";"28,6"
"Thüringen";"29,9"
