"Region";"Deutschland";"Regionsschlüssel:";"d"
"Gebietsstand";"April 2025"
"Berichtsjahr";"2017"
"Datenstand";"April 2025"
"Indikator";"Arbeitslose"
"StaatsangehörigkeitEs werden Grafiken und Daten nur zu denjenigen Staatsangehörigkeiten angezeigt, bei denen eine ausreichend gesicherte Datenlage besteht.";"Ausländer"
""
"Hinweise:";"Bei den dargestellten Werten handelt es sich um Jahresdurchschnitte. "
""
"Merkmal ";"JD Arbeitslose ";"Anteil an Insgesamt in % "
"unter 25 Jahre";"72.138";"11"
"25 bis unter 55 Jahre ";"515.742";"78"
"55 Jahre und älter";"73.858";"11"
"Keine Angabe";"54";"0"
""
"Exportdatum: ";"21.05.2025";"17:56:55"
"© Statistik der Bundesagentur für Arbeit"
"Die Produkte unterliegen dem Urheberrecht (siehe Impressum: https://statistik.arbeitsagentur.de/DE/Home/Service/Impressum/impressum_node.html). Daten und Tabellen dürfen uneingeschränkt verwendet werden. Informationen dürfen (auch auszugsweise) gespeichert und mit Quellenangabe weitergegeben, vervielfältigt und verbreitet werden. Die Inhalte dürfen nicht verändert oder verfälscht werden. Eigene Berechnungen sind erlaubt, jedoch als solche kenntlich zu machen. Im Fall einer Veröffentlichung im Internet soll dies mit einer Verlinkung auf die Homepage der Statistik der Bundesagentur für Arbeit (https://statistik.arbeitsagentur.de/) erfolgen."
