"Jahr";"Frauen Arbeitslose ";"Männer Arbeitslose ";"Arbeitslose "
"2015";"271.816";"296.426";"568.242"
"2016";"285.258";"349.764";"635.026"
"2017";"295.410";"366.378";"661.793"
"2018";"282.843";"349.453";"632.297"
"2019";"287.420";"355.611";"643.033"
"2020";"355.541";"449.062";"804.608"
"2021";"365.688";"425.898";"791.591"
"2022";"411.949";"404.842";"816.793"
"2023";"488.391";"478.835";"967.226"
"2024";"511.527";"529.381";"1.040.908"
