"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"66,4"
"Bayern";"63,9"
"Berlin";"51,3"
"Brandenburg";"53,4"
"Bremen";"63,9"
"Hamburg";"82,6"
"Hessen";"60,4"
"Mecklenburg-Vorpommern";"51,6"
"Niedersachsen";"58,1"
"Nordrhein-Westfalen";"55,6"
"Rheinland-Pfalz";"59,5"
"Saarland";"54,2"
"Sachsen";"57,9"
"Sachsen-Anhalt";"54,1"
"Schleswig-Holstein";"50,9"
"Thüringen";"54,0"
