"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"43,9"
"Bayern";"42,8"
"Berlin";"27,3"
"Brandenburg";"14,6"
"Bremen";"37,0"
"Hamburg";"36,7"
"Hessen";"37,3"
"Mecklenburg-Vorpommern";"19,5"
"Niedersachsen";"36,1"
"Nordrhein-Westfalen";"35,5"
"Rheinland-Pfalz";"40,3"
"Saarland";"34,3"
"Sachsen";"29,0"
"Sachsen-Anhalt";"24,1"
"Schleswig-Holstein";"31,6"
"Thüringen";"34,8"
