"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"20,0"
"Bayern";"23,7"
"Berlin";"27,9"
"Brandenburg";"18,4"
"Bremen";"17,0"
"Hamburg";"21,0"
"Hessen";"18,7"
"Mecklenburg-Vorpommern";"19,9"
"Niedersachsen";"17,9"
"Nordrhein-Westfalen";"17,1"
"Rheinland-Pfalz";"19,5"
"Saarland";"13,6"
"Sachsen";"16,8"
"Sachsen-Anhalt";"16,0"
"Schleswig-Holstein";"19,9"
"Thüringen";"19,3"
