"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"61,8"
"Bayern";"68,4"
"Berlin";"60,7"
"Brandenburg";"49,5"
"Bremen";"56,4"
"Hamburg";"60,2"
"Hessen";"63,2"
"Mecklenburg-Vorpommern";"40,3"
"Niedersachsen";"67,1"
"Nordrhein-Westfalen";"57,4"
"Rheinland-Pfalz";"66,8"
"Saarland";"47,9"
"Sachsen";"44,4"
"Sachsen-Anhalt";"73,0"
"Schleswig-Holstein";"60,8"
"Thüringen";"65,6"
