"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"46,0"
"Bayern";"49,4"
"Berlin";"36,2"
"Brandenburg";"39,9"
"Bremen";"39,4"
"Hamburg";"30,2"
"Hessen";"46,5"
"Mecklenburg-Vorpommern";"34,7"
"Niedersachsen";"37,4"
"Nordrhein-Westfalen";"35,1"
"Rheinland-Pfalz";"46,7"
"Saarland";"38,6"
"Sachsen";"38,8"
"Sachsen-Anhalt";"32,0"
"Schleswig-Holstein";"33,1"
"Thüringen";"47,2"
