"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"44,9"
"Bayern";"45,2"
"Berlin";"30,0"
"Brandenburg";"29,2"
"Bremen";"39,9"
"Hamburg";"45,2"
"Hessen";"39,6"
"Mecklenburg-Vorpommern";"26,5"
"Niedersachsen";"40,5"
"Nordrhein-Westfalen";"37,0"
"Rheinland-Pfalz";"41,7"
"Saarland";"40,9"
"Sachsen";"36,6"
"Sachsen-Anhalt";"34,1"
"Schleswig-Holstein";"37,8"
"Thüringen";"41,2"
