"Jahr";"Frauen Arbeitslose ";"Männer Arbeitslose ";"Arbeitslose "
"2015";"1.097";"2.286";"3.383"
"2016";"1.072";"2.141";"3.213"
"2017";"1.098";"2.081";"3.178"
"2018";"1.032";"1.948";"2.979"
"2019";"1.039";"1.951";"2.990"
"2020";"1.265";"2.475";"3.740"
"2021";"1.358";"2.320";"3.679"
"2022";"1.285";"2.028";"3.313"
"2023";"1.369";"2.145";"3.514"
"2024";"1.459";"2.393";"3.852"
