"Jahr";"Frauen Arbeitslose ";"Männer Arbeitslose ";"Arbeitslose "
"2015";"13.476";"20.608";"34.084"
"2016";"13.303";"19.999";"33.303"
"2017";"12.583";"18.787";"31.369"
"2018";"11.612";"17.024";"28.635"
"2019";"11.268";"16.619";"27.888"
"2020";"13.971";"22.024";"35.995"
"2021";"13.781";"20.170";"33.951"
"2022";"11.297";"16.288";"27.585"
"2023";"11.388";"16.650";"28.038"
"2024";"12.048";"18.180";"30.228"

